OnsetTemperature,TemperatureStep,TimeMean,TimeStandardDeviation,ECL,FCL,ECN
60.0,1.0,23.364666666666665,0.037007506746005156,8.0,0.0,8
60.0,1.0,39.026999999999994,0.04678318786344962,10.0,0.0,10
60.0,1.0,47.48,0.039064049969247366,11.0,0.0,11
60.0,1.0,55.897,0.0625672971021343,12.0,0.0,12
60.0,1.0,64.08833333333332,0.05622178304615546,13.0,0.0,13
60.0,1.0,71.99966666666667,0.06884443009826686,14.0,0.0,14
60.0,1.0,76.505,0.054448752664009926,14.59444957558165,0.5944495755816508,12
60.0,1.0,79.57866666666666,0.06387661717891625,15.0,0.0,15
60.0,1.0,83.966,0.060105462868748794,15.600291890905773,0.6002918909057726,13
60.0,1.0,86.88733333333334,0.08462597447330504,16.0,0.0,16
60.0,1.0,90.146,0.062311047709587834,16.470022597240252,0.4700225972402521,14
60.0,1.0,93.82033333333334,0.07840634894927402,17.0,0.0,17
60.0,1.0,97.00233333333334,0.0641941499584584,17.47398212512413,0.47398212512413096,15
60.0,1.0,100.53366666666666,0.0971642366763091,18.0,0.0,18
60.0,1.0,102.25099999999999,0.07805553578489534,18.271286398820493,0.271286398820493,16
60.0,1.0,103.04266666666666,0.08933208954357796,18.396345637407194,0.39634563740719386,16
60.0,1.0,105.86633333333333,0.07198302268976862,18.842399031120003,0.8423990311200029,14
60.0,1.0,106.864,0.006000000000000227,19.0,0.0,19
60.0,1.0,107.66066666666666,0.07095695095541348,19.12766412050638,1.127664120506381,14
60.0,1.0,110.81133333333332,0.06444291185917259,19.632551679931627,1.6325516799316269,12
60.0,1.0,113.10433333333333,0.10093342140022526,20.0,0.0,20
60.0,1.0,113.12933333333335,0.07198302268976559,20.004257251518425,2.0042572515184247,12
60.0,1.0,115.39733333333334,0.07973428093082577,20.390475109269456,0.39047510926945606,18
60.0,1.0,118.97666666666667,0.09309612714226666,21.0,0.0,21
60.0,1.0,119.79,0.0724200708827781,21.140771937921883,1.1407719379218833,16
60.0,1.0,122.66033333333333,0.06205553068735335,21.637569953268333,1.6375699532683328,14
60.0,1.0,124.75433333333332,0.12107665157062937,22.0,0.0,22
60.0,1.0,124.88366666666667,0.0788768378901923,22.023793462930033,2.0237934629300334,14
60.0,1.0,124.71033333333332,0.07570703768841333,21.991905316735146,1.9919053167351457,12
60.0,1.0,126.91566666666667,0.08775850702670226,22.397620653707,0.3976206537070013,20
60.0,1.0,130.18999999999997,0.10200980345045252,23.0,0.0,23
60.0,1.0,131.04033333333334,0.07973428093082267,23.157313764183527,1.1573137641835274,18
60.0,1.0,129.94366666666664,0.054481393357942255,22.95442772570301,2.9544277257030096,10
60.0,1.0,135.59533333333334,0.12925770984957016,24.0,0.0,24
60.0,1.0,137.66033333333334,0.09416415925865206,,,22
60.0,1.0,142.97733333333335,0.05633431951798928,,,10
60.0,2.0,17.958000000000002,0.016872067646458617,8.0,0.0,8
60.0,2.0,26.715666666666667,0.023612614331232535,10.0,0.0,10
60.0,2.0,31.162333333333333,0.02332857094256413,11.0,0.0,11
60.0,2.0,35.495666666666665,0.028241026106632382,12.0,0.0,12
60.0,2.0,39.663000000000004,0.028705400188815736,13.0,0.0,13
60.0,2.0,43.66433333333333,0.031961782734315096,14.0,0.0,14
60.0,2.0,46.066,0.024097026095904802,14.629752643999652,0.6297526439996517,12
60.0,2.0,47.478,0.03128364855106647,15.0,0.0,15
60.0,2.0,49.81433333333333,0.026386023236217637,15.636776596711183,0.6367765967111829,13
60.0,2.0,51.147,0.04292629341868048,16.0,0.0,16
60.0,2.0,52.923333333333325,0.03164736253711414,16.512453120492353,0.5124531204923528,14
60.0,2.0,54.61333333333334,0.03477866523539355,17.0,0.0,17
60.0,2.0,56.35833333333333,0.03315954697452232,17.51790660862683,0.5179066086268307,15
60.0,2.0,57.98266666666666,0.04786323107447772,18.0,0.0,18
60.0,2.0,58.927666666666674,0.03802922852520494,18.29901909081321,0.29901909081321065,16
60.0,2.0,59.38133333333334,0.04136289265620697,18.44256934922477,0.44256934922476887,16
60.0,2.0,60.760333333333335,0.03315954697452428,18.87891572618922,0.87891572618922,14
60.0,2.0,61.143,0.006000000000000227,19.0,0.0,19
60.0,2.0,61.788666666666664,0.03503648891592329,19.20709932641933,1.2070993264193284,14
60.0,2.0,63.449666666666666,0.026849374087471806,19.739869560568803,1.7398695605688026,12
60.0,2.0,64.26066666666667,0.05086146762420986,20.0,0.0,20
60.0,2.0,64.60366666666665,0.029408993333483027,20.11689196864705,2.1168919686470495,12
60.0,2.0,65.55566666666667,0.03858612300929635,20.441326820402136,0.44132682040213567,18
60.0,2.0,67.19500000000001,0.04508510470949908,21.0,0.0,21
60.0,2.0,67.84100000000001,0.037345236197763185,21.224279597268836,1.2242795972688363,16
60.0,2.0,69.377,0.031843366656182516,21.75755120935077,1.757551209350769,14
60.0,2.0,70.07533333333333,0.05460362218347502,22.0,0.0,22
60.0,2.0,70.47233333333332,0.030565049030263764,22.146170839469807,2.146170839469807,14
60.0,2.0,70.48299999999999,0.029439202887756852,22.150098183603333,2.1500981836033333,12
60.0,2.0,71.30066666666666,0.04224005471376866,22.451153657339223,0.45115365733922275,20
60.0,2.0,72.79133333333333,0.04899206284922407,23.0,0.0,23
60.0,2.0,73.35766666666666,0.14657269716954763,23.210480673934587,1.2104806739345868,18
60.0,2.0,73.26266666666668,0.11781435490729425,23.175173439048567,3.1751734390485673,10
60.0,2.0,75.48200000000001,0.0637704215656988,24.0,0.0,24
60.0,2.0,76.65366666666667,0.04629134788369041,,,22
